Date,Open,High,Low,Close,WAP,No. of Shares,No. of Trades,Total Turnover,Deliverable Quantity,% Deli. Qty to Traded Qty,Spread H-L,Spread C-O
2019-01-24,1249.0,1275.0,1218.6,1233.8,1245.81,945.0,117.0,1177290.0,374.0,39.58,56.4,-15.2
2019-01-23,1218.0,1275.0,1218.0,1244.7,1251.44,5395.0,672.0,6751528.0,1264.0,23.43,57.0,26.7
2019-01-22,1249.6,1258.4,1213.15,1224.15,1232.09,1052.0,134.0,1296161.0,571.0,54.28,45.25,-25.45
2019-01-21,1301.0,1301.0,1244.0,1266.9,1273.98,871.0,146.0,1109633.0,430.0,49.37,57.0,-34.1
2019-01-18,1316.0,1333.4,1290.0,1315.65,1315.19,1361.0,204.0,1789974.0,443.0,32.55,43.4,-0.35
2019-01-17,1320.0,1358.0,1299.6,1329.9,1330.87,5045.0,728.0,6714224.0,758.0,15.02,58.4,9.9
2019-01-16,1228.8,1335.0,1226.2,1315.6,1287.22,13409.0,1659.0,17260384.0,1986.0,14.81,108.8,86.8
2019-01-15,1092.75,1243.0,1054.95,1219.8,1154.42,9049.0,878.0,10446359.0,1878.0,20.75,188.05,127.05
2019-01-14,1130.0,1132.5,1070.0,1090.35,1100.23,4317.0,477.0,4749704.0,2073.0,48.02,62.5,-39.65
2019-01-11,1150.0,1157.95,1112.65,1136.05,1137.51,3804.0,400.0,4327100.0,576.0,15.14,45.3,-13.95
2019-01-10,1284.7,1284.7,1131.2,1143.5,1155.4,13397.0,1236.0,15478908.0,6502.0,48.53,153.5,-141.2
2019-01-09,1280.0,1280.0,1210.0,1222.25,1249.15,2244.0,263.0,2803100.0,1106.0,49.29,70.0,-57.75
2019-01-08,1305.0,1310.55,1286.0,1287.65,1291.19,496.0,89.0,640430.0,346.0,69.76,24.55,-17.35
2019-01-07,1345.55,1345.55,1309.55,1311.6,1320.97,234.0,37.0,309106.0,156.0,66.67,36.0,-33.95
2019-01-04,1335.0,1335.0,1307.0,1320.55,1313.37,738.0,91.0,969267.0,541.0,73.31,28.0,-14.45
2019-01-03,1350.05,1363.0,1312.65,1344.05,1342.96,586.0,168.0,786975.0,304.0,51.88,50.35,-6.0
2019-01-02,1380.0,1395.2,1340.1,1347.8,1366.45,399.0,153.0,545213.0,218.0,54.64,55.1,-32.2
2019-01-01,1372.0,1385.05,1356.4,1379.7,1371.78,379.0,72.0,519904.0,109.0,28.76,28.65,7.7
