Date,Open,High,Low,Close,WAP,No. of Shares,No. of Trades,Total Turnover,Deliverable Quantity,% Deli. Qty to Traded Qty,Spread H-L,Spread C-O
2019-01-24,548.0,548.9,541.0,542.9,544.65,34.0,12.0,18518.0,23.0,67.65,7.9,-5.1
2019-01-23,545.05,550.0,545.05,548.8,548.06,265.0,37.0,145235.0,66.0,24.91,4.95,3.75
2019-01-22,538.3,545.5,528.1,543.45,536.53,8250.0,117.0,4426361.0,86.0,1.04,17.4,5.15
2019-01-21,539.4,541.5,536.95,537.65,537.71,473.0,52.0,254337.0,249.0,52.64,4.55,-1.75
2019-01-18,546.9,547.15,540.15,545.4,543.92,186.0,31.0,101169.0,114.0,61.29,7.0,-1.5
2019-01-17,560.0,560.0,545.15,546.75,547.88,80.0,24.0,43830.0,49.0,61.25,14.85,-13.25
2019-01-16,547.55,550.0,546.85,549.95,549.81,74.0,13.0,40686.0,70.0,94.59,3.15,2.4
2019-01-15,546.0,553.0,531.0,545.95,542.25,8216.0,197.0,4455135.0,703.0,8.56,22.0,-0.05
2019-01-14,549.55,549.55,546.0,547.05,547.37,239.0,18.0,130821.0,166.0,69.46,3.55,-2.5
2019-01-11,549.3,550.0,535.3,550.0,544.08,9163.0,114.0,4985435.0,1393.0,15.2,14.7,0.7
2019-01-10,549.6,550.0,547.0,549.4,548.67,287.0,27.0,157467.0,176.0,61.32,3.0,-0.2
2019-01-09,553.0,553.0,536.3,544.8,544.15,280.0,66.0,152361.0,167.0,59.64,16.7,-8.2
2019-01-08,547.95,548.0,541.65,543.65,542.81,19897.0,87.0,10800333.0,246.0,1.24,6.35,-4.3
2019-01-07,549.0,554.75,535.55,542.2,546.8,8141.0,309.0,4451466.0,605.0,7.43,19.2,-6.8
2019-01-04,554.95,554.95,537.6,545.1,545.08,823.0,110.0,448601.0,572.0,69.5,17.35,-9.85
2019-01-03,549.0,549.45,539.2,547.65,545.72,343.0,47.0,187183.0,196.0,57.14,10.25,-1.35
2019-01-02,530.0,545.0,530.0,542.3,542.5,1505.0,154.0,816460.0,951.0,63.19,15.0,12.3
2019-01-01,528.15,538.5,527.5,536.75,532.66,2665.0,238.0,1419551.0,1106.0,41.5,11.0,8.6
2018-12-31,542.7,550.75,519.85,527.15,538.89,275318.0,1498.0,148367016.0,238657.0,86.68,30.9,-15.55
2018-12-28,543.9,543.9,536.5,537.95,539.15,1091.0,40.0,588218.0,794.0,72.78,7.4,-5.95
2018-12-27,544.05,545.0,539.05,540.2,542.45,155.0,16.0,84079.0,61.0,39.35,5.95,-3.85
2018-12-26,540.0,550.0,534.0,545.15,542.3,7465.0,114.0,4048234.0,196.0,2.63,16.0,5.15
2018-12-24,551.35,552.0,535.5,539.4,547.05,2875.0,131.0,1572765.0,1934.0,67.27,16.5,-11.95
2018-12-21,553.35,559.9,550.0,550.05,554.67,9308.0,103.0,5162845.0,568.0,6.1,9.9,-3.3
2018-12-20,555.95,556.7,549.95,553.35,552.55,1585.0,94.0,875784.0,859.0,54.2,6.75,-2.6
2018-12-19,558.6,562.2,556.0,560.55,557.89,830.0,55.0,463046.0,599.0,72.17,6.2,1.95
2018-12-18,550.1,561.0,545.0,556.6,553.43,7183.0,121.0,3975321.0,77.0,1.07,16.0,6.5
2018-12-17,547.05,555.0,547.05,549.1,551.71,9355.0,56.0,5161243.0,126.0,1.35,7.95,2.05
2018-12-14,551.4,558.0,544.0,551.45,550.33,21972.0,149.0,12091860.0,13143.0,59.82,14.0,0.05
2018-12-13,554.0,557.0,545.55,547.4,551.3,264.0,65.0,145542.0,123.0,46.59,11.45,-6.6
2018-12-12,545.35,552.45,539.15,549.2,544.51,567.0,92.0,308740.0,214.0,37.74,13.3,3.85
2018-12-11,533.4,543.75,530.0,539.0,539.11,1182.0,281.0,637230.0,843.0,71.32,13.75,5.6
2018-12-10,546.0,559.0,532.55,541.6,537.64,256326.0,130.0,137811740.0,250148.0,97.59,26.45,-4.4
2018-12-07,552.0,552.0,544.5,546.7,546.99,277.0,54.0,151515.0,206.0,74.37,7.5,-5.3
2018-12-06,553.0,554.95,541.65,551.65,549.7,430.0,57.0,236372.0,346.0,80.47,13.3,-1.35
2018-12-05,547.35,554.1,547.35,552.8,548.76,1868.0,37.0,1025080.0,1643.0,87.96,6.75,5.45
2018-12-04,558.7,559.75,552.0,552.95,553.76,225.0,28.0,124596.0,112.0,49.78,7.75,-5.75
2018-12-03,553.5,574.65,550.1,557.5,559.36,1350.0,165.0,755142.0,624.0,46.22,24.55,4.0
2018-11-30,545.95,549.55,533.7,545.35,545.0,257067.0,175.0,140101253.0,255770.0,99.5,15.85,-0.6
2018-11-29,531.0,544.9,531.0,540.4,539.08,1185.0,149.0,638814.0,712.0,60.08,13.9,9.4
2018-11-28,525.25,548.9,525.25,530.9,535.3,2017.0,178.0,1079696.0,658.0,32.62,23.65,5.65
2018-11-27,525.0,533.0,525.0,530.1,529.06,1152.0,66.0,609477.0,669.0,58.07,8.0,5.1
2018-11-26,546.65,548.5,527.55,529.6,541.81,13926.0,413.0,7545254.0,10110.0,72.6,20.95,-17.05
2018-11-22,547.5,549.95,541.0,544.55,545.5,218.0,27.0,118918.0,150.0,68.81,8.95,-2.95
2018-11-21,551.45,553.7,543.0,549.9,548.34,1252.0,140.0,686520.0,698.0,55.75,10.7,-1.55
2018-11-20,549.85,551.0,545.2,549.3,548.81,473.0,53.0,259585.0,266.0,56.24,5.8,-0.55
2018-11-19,552.0,553.0,548.0,550.75,550.0,46091.0,145.0,25350059.0,45947.0,99.69,5.0,-1.25
2018-11-16,550.5,553.5,549.2,551.8,552.18,373.0,35.0,205965.0,291.0,78.02,4.3,1.3
2018-11-15,553.75,556.9,550.25,551.75,552.59,998.0,71.0,551483.0,541.0,54.21,6.65,-2.0
2018-11-14,560.0,576.5,549.45,554.65,556.77,1054.0,110.0,586839.0,437.0,41.46,27.05,-5.35
2018-11-13,555.55,557.0,550.0,552.65,553.66,7968.0,85.0,4411594.0,623.0,7.82,7.0,-2.9
2018-11-12,554.0,558.4,547.1,550.6,550.19,1133.0,62.0,623364.0,842.0,74.32,11.3,-3.4
2018-11-09,550.6,555.65,548.05,551.4,552.35,629.0,57.0,347427.0,463.0,73.61,7.6,0.8
2018-11-07,556.95,557.95,550.0,555.95,555.14,166.0,24.0,92153.0,130.0,78.31,7.95,-1.0
2018-11-06,550.1,553.95,544.05,550.35,549.39,327.0,30.0,179650.0,250.0,76.45,9.9,0.25
2018-11-05,550.0,552.95,548.05,550.25,551.47,603.0,73.0,332535.0,430.0,71.31,4.9,0.25
2018-11-02,561.95,561.95,548.55,550.3,552.9,1472.0,169.0,813873.0,1073.0,72.89,13.4,-11.65
2018-11-01,568.45,568.45,554.0,559.95,559.3,1764.0,142.0,986598.0,1537.0,87.13,14.45,-8.5
2018-10-31,552.8,569.0,552.8,562.5,562.23,367.0,49.0,206340.0,196.0,53.41,16.2,9.7
2018-10-30,550.25,576.0,550.25,558.9,561.14,7112.0,112.0,3990830.0,599.0,8.42,25.75,8.65
2018-10-29,550.05,564.25,550.0,555.4,555.71,1109.0,109.0,616285.0,796.0,71.78,14.25,5.35
2018-10-26,568.0,576.25,552.0,564.2,569.47,6354.0,118.0,3618418.0,567.0,8.92,24.25,-3.8
2018-10-25,565.35,571.25,555.0,569.0,564.57,343.0,26.0,193649.0,198.0,57.73,16.25,3.65
2018-10-24,570.6,580.0,564.0,566.7,568.02,655.0,88.0,372050.0,398.0,60.76,16.0,-3.9
2018-10-23,581.55,584.35,560.25,569.25,572.92,6787.0,133.0,3888380.0,617.0,9.09,24.1,-12.3
2018-10-22,595.0,600.0,582.0,584.8,591.4,477.0,93.0,282096.0,144.0,30.19,18.0,-10.2
2018-10-19,601.4,601.4,590.0,595.1,595.05,757.0,80.0,450453.0,432.0,57.07,11.4,-6.3
2018-10-17,611.0,615.95,595.0,598.95,602.76,8808.0,175.0,5309109.0,1166.0,13.24,20.95,-12.05
2018-10-16,611.0,619.9,611.0,614.9,614.19,666.0,42.0,409049.0,365.0,54.8,8.9,3.9
2018-10-15,610.0,623.0,610.0,615.5,617.53,402.0,55.0,248248.0,112.0,27.86,13.0,5.5
2018-10-12,615.0,639.0,615.0,633.35,629.52,3208.0,172.0,2019499.0,985.0,30.7,24.0,18.35
2018-10-11,654.65,656.85,619.8,639.0,633.67,8722.0,770.0,5526873.0,3432.0,39.35,37.05,-15.65
2018-10-10,677.95,677.95,649.5,654.65,666.84,2831.0,165.0,1887829.0,1230.0,43.45,28.45,-23.3
2018-10-09,670.0,674.9,652.65,668.6,668.18,5055.0,200.0,3377655.0,2747.0,54.34,22.25,-1.4
2018-10-08,665.95,671.0,650.0,669.65,664.13,7048.0,300.0,4680770.0,3484.0,49.43,21.0,3.7
2018-10-05,663.35,667.55,643.25,665.5,658.46,19249.0,420.0,12674691.0,8634.0,44.85,24.3,2.15
2018-10-04,650.0,665.0,643.6,660.35,657.3,3316.0,204.0,2179623.0,2093.0,63.12,21.4,10.35
2018-10-03,636.45,660.0,636.45,654.65,654.49,1530.0,74.0,1001367.0,911.0,59.54,23.55,18.2
2018-10-01,640.0,651.0,617.25,649.9,642.73,5052.0,168.0,3247093.0,3387.0,67.04,33.75,9.9
2018-09-28,626.85,647.9,626.85,644.95,642.19,2539.0,124.0,1630515.0,1412.0,55.61,21.05,18.1
2018-09-27,640.15,642.6,630.0,641.4,638.41,3515.0,121.0,2244013.0,2050.0,58.32,12.6,1.25
2018-09-26,622.4,641.6,622.4,639.7,635.4,10334.0,463.0,6566238.0,5498.0,53.2,19.2,17.3
2018-09-25,610.05,633.0,610.05,629.25,628.21,4599.0,297.0,2889159.0,3505.0,76.21,22.95,19.2
2018-09-24,605.0,629.0,600.3,624.4,612.44,11128.0,240.0,6815274.0,1353.0,12.16,28.7,19.4
2018-09-21,642.95,643.0,600.0,603.1,613.79,4023.0,347.0,2469274.0,2806.0,69.75,43.0,-39.85
2018-09-19,650.0,655.3,637.45,641.75,646.11,1297.0,95.0,838009.0,967.0,74.56,17.85,-8.25
2018-09-18,650.1,653.05,645.1,649.95,649.78,1770.0,116.0,1150106.0,1494.0,84.41,7.95,-0.15
2018-09-17,645.5,653.0,640.0,649.9,648.91,2170.0,134.0,1408125.0,1697.0,78.2,13.0,4.4
2018-09-14,647.05,650.0,645.05,647.5,648.62,1154.0,71.0,748513.0,773.0,66.98,4.95,0.45
2018-09-12,655.0,659.0,637.0,647.95,647.95,2689.0,214.0,1742344.0,1068.0,39.72,22.0,-7.05
2018-09-11,671.0,676.0,652.0,657.1,661.93,3259.0,296.0,2157226.0,1256.0,38.54,24.0,-13.9
2018-09-10,655.0,684.0,655.0,662.65,669.17,25061.0,1583.0,16770039.0,4382.0,17.49,29.0,7.65
2018-09-07,640.0,643.85,637.0,641.5,640.38,1810.0,127.0,1159089.0,968.0,53.48,6.85,1.5
2018-09-06,655.8,659.4,637.1,640.5,644.39,4139.0,234.0,2667124.0,2520.0,60.88,22.3,-15.3
2018-09-05,682.3,697.0,637.45,653.8,687.31,196286.0,680.0,134908653.0,191906.0,97.77,59.55,-28.5
2018-09-04,671.2,685.0,667.35,681.9,679.06,2861.0,283.0,1942796.0,1646.0,57.53,17.65,10.7
2018-09-03,654.95,682.0,650.0,671.1,667.41,6481.0,511.0,4325484.0,3064.0,47.28,32.0,16.15
2018-08-31,642.25,652.0,640.0,650.35,646.63,996.0,97.0,644044.0,565.0,56.73,12.0,8.1
2018-08-30,653.0,656.55,640.3,644.75,649.11,606.0,76.0,393359.0,218.0,35.97,16.25,-8.25
2018-08-29,647.55,657.85,645.0,651.25,653.13,2900.0,305.0,1894066.0,1629.0,56.17,12.85,3.7
