Date,Open,High,Low,Close,WAP,No. of Shares,No. of Trades,Total Turnover,Deliverable Quantity,% Deli. Qty to Traded Qty,Spread H-L,Spread C-O
2019-01-24,291.0,305.65,289.0,295.75,299.31,907554.0,11685.0,271636902.0,49783.0,5.49,16.65,4.75
2019-01-23,294.0,294.0,281.35,284.4,287.9,94235.0,1117.0,27130398.0,15335.0,16.27,12.65,-9.6
2019-01-22,284.05,291.65,282.85,290.7,287.39,78977.0,902.0,22697260.0,9098.0,11.52,8.8,6.65
2019-01-21,286.55,290.95,283.7,285.4,286.93,69585.0,696.0,19966200.0,10217.0,14.68,7.25,-1.15
2019-01-18,287.0,289.0,275.5,286.55,280.84,144093.0,1482.0,40467386.0,10346.0,7.18,13.5,-0.45
2019-01-17,294.0,294.2,284.5,287.3,287.99,88795.0,994.0,25572190.0,9607.0,10.82,9.7,-6.7
2019-01-16,290.5,294.7,288.0,291.45,291.21,64518.0,825.0,18788288.0,11128.0,17.25,6.7,0.95
2019-01-15,287.75,295.6,286.5,293.6,292.3,125350.0,1358.0,36640271.0,20452.0,16.32,9.1,5.85
2019-01-14,288.0,288.95,284.85,285.95,286.19,61977.0,596.0,17737311.0,11411.0,18.41,4.1,-2.05
2019-01-11,286.0,291.25,284.0,288.95,287.49,114261.0,1276.0,32849193.0,8186.0,7.16,7.25,2.95
2019-01-10,284.7,288.5,284.5,286.65,286.49,68883.0,818.0,19734242.0,6351.0,9.22,4.0,1.95
2019-01-09,285.5,291.9,283.0,285.9,287.17,200287.0,2283.0,57516526.0,17404.0,8.69,8.9,0.4
2019-01-08,282.0,285.5,279.7,284.45,283.62,50000.0,629.0,14181190.0,7627.0,15.25,5.8,2.45
2019-01-07,286.0,288.85,280.55,282.1,283.87,171252.0,1789.0,48612605.0,18242.0,10.65,8.3,-3.9
2019-01-04,285.6,289.0,278.3,283.65,282.66,340761.0,3771.0,96320152.0,19283.0,5.66,10.7,-1.95
2019-01-03,275.7,288.0,272.75,285.6,285.35,1243397.0,6178.0,354808141.0,620742.0,49.92,15.25,9.9
2019-01-02,274.0,283.1,272.0,274.6,278.24,264901.0,2623.0,73705092.0,27316.0,10.31,11.1,0.6
2019-01-01,280.9,280.9,272.0,274.45,275.03,81631.0,805.0,22450854.0,12751.0,15.62,8.9,-6.45
2018-12-31,274.15,281.15,274.15,277.55,277.99,145757.0,1385.0,40519715.0,15790.0,10.83,7.0,3.4
2018-12-28,273.0,276.65,271.85,272.85,274.01,117706.0,1236.0,32252795.0,16818.0,14.29,4.8,-0.15
2018-12-27,277.6,284.85,270.0,272.35,278.2,341289.0,3699.0,94945057.0,38018.0,11.14,14.85,-5.25
2018-12-26,270.7,276.85,264.0,274.95,270.91,165066.0,2103.0,44717643.0,8188.0,4.96,12.85,4.25
2018-12-24,277.75,278.3,268.2,272.05,273.51,210536.0,2287.0,57583899.0,18392.0,8.74,10.1,-5.7
2018-12-21,276.0,286.45,271.8,275.95,279.82,657897.0,7641.0,184090181.0,31200.0,4.74,14.65,-0.05
2018-12-20,253.0,280.15,251.55,277.0,271.0,849219.0,9774.0,230142514.0,41152.0,4.85,28.6,24.0
